Name,playerid,Age
Jacob deGrom,10954,34
Corbin Burnes,19361,27
Gerrit Cole,13125,31
Max Scherzer,3137,37
Zack Wheeler,10310,32
Brandon Woodruff,16162,29
Aaron Nola,16149,29
Tyler Glasnow,14374,28
Shane Bieber,19427,27
Carlos Rodon,16137,29
Charlie Morton,4676,38
Dustin May,19716,24
Clayton Kershaw,2036,34
Logan Webb,17995,25
Chris Sale,10603,33
Kevin Gausman,14107,31
Trevor Bauer,12703,31
Justin Verlander,8700,39
Luis Castillo,15689,29
Blake Snell,13543,29
Pablo Lopez,17085,26
Yu Darvish,13074,35
Walker Buehler,19374,27
Nicholas Lodolo,sa917947,24
Trevor Rogers,22286,24
Joe Musgrove,12970,29
Adrian Morejon,20039,23
Max Fried,13743,28
Shohei Ohtani,19755,27
Nathan Eovaldi,9132,32
Sandy Alcantara,18684,26
Robbie Ray,11486,30
Lance Lynn,2520,35
Lance McCullers Jr.,14120,28
Lucas Giolito,15474,27
Framber Valdez,17295,28
Sonny Gray,12768,32
Eduardo Rodriguez,13164,29
Sean Manaea,15873,30
Dylan Cease,18525,26
Carlos Carrasco,6632,35
Shane Baz,22264,23
Noah Syndergaard,11762,29
Frankie Montas,14309,29
Julio Urias,14765,25
Spencer Turnbull,16207,29
Jose Berrios,14168,28
Stephen Strasburg,10131,33
German Marquez,15038,27
Zac Gallen,19291,26
Tyler Mahle,16358,27
Ranger Suarez,17277,26
Huascar Ynoa,20468,24
Tylor Megill,21318,26
Shane McClanahan,21483,25
Marcus Stroman,13431,31
Jordan Montgomery,16511,29
Patrick Corbin,9323,32
Alek Manoah,26410,24
James Paxton,11828,33
Matthew Boyd,15440,31
Ian Anderson,19951,24
Caleb Kilian,sa3011773,25
Tarik Skubal,22267,25
Hyun-Jin Ryu,14444,35
Mike Soroka,18383,24
Zach Eflin,13774,28
Alex Cobb,6562,34
Jon Gray,14916,30
John Means,16269,29
Brady Singer,25377,25
Christian Greene,sa3005315,22
Douglas Ashcraft,sa918274,24
Kenta Maeda,18498,34
Kyle Gibson,10123,34
JT Brubaker,17578,28
Jacob Eder,sa3014917,23
Edward Cabrera,21690,24
Chris Bassitt,12304,33
Anthony DeSclafani,13050,32
Roansy Contreras,22810,22
Steven Matz,13361,31
David Peterson,20302,26
Luis Garcia,23735,25
Kyle Freeland,16256,29
Tyler Skaggs,10190,#N/A
Mike Minor,10021,34
Bailey Ober,21224,26
Logan Gilbert,22250,25
Yusei Kikuchi,20633,31
Adam Wainwright,2233,40
Joe Ryan,21390,26
Bryce Elder,sa3014515,23
Max Meyer,sa3014430,23
Tucker Davidson,19871,26
Robert Stock,6576,32
Reid Detmers,27468,22
Dane Dunning,19409,27
Steven Cavalli,sa3014421,23
Raul Valdes,1953,#N/A
Luke Weaver,16918,28
Josiah Gray,24580,24
Elieser Hernandez,16933,27
Drew Rasmussen,25385,26
Jameson Taillon,11674,30
Wade Miley,8779,35
Austin Gomber,16561,28
Merrill Kelly,11156,33
Jesus Luzardo,19959,24
Justin Steele,17312,26
Adrian Houser,12718,29
Brad Keller,15734,26
Taijuan Walker,11836,29
Grayson Rodriguez,sa3008130,22
Erick Fedde,17425,29
George Kirby,sa3011526,24
Ryne Nelson,sa3011524,24
Brandon Williamson,sa3011494,24
Antonio Senzatela,15488,27
Kyle Hendricks,12049,32
Alec Marsh,sa1159950,24
Dillon Peters,18790,29
Luis Contreras,sa3010362,26
Jose Urquidy,18413,27
Ryan Weathers,23796,22
Mark Leiter,15551,31
Glenn Otto,21366,26
Kyle Wright,19665,26
Cody Poteet,18769,27
Casey Mize,20492,25
MacKenzie Gore,sa3005068,23
Reginald Lawson,sa917951,24
Jackson Kowar,21549,25
Tsuyoshi Wada,13046,#N/A
Jonathan Bowlan,sa3006973,25
Triston McKenzie,18000,24
Vince Velasquez,11189,30
Brandon McCarthy,4662,#N/A
Kris Bubic,21455,24
Chris Flexen,13896,27
Corey Kluber,2429,36
Ethan Elliott,sa3010380,25
Cole Hamels,4972,38
Mitch Keller,17594,26
Rich Hill,4806,42
Angel Zerpa,22717,22
Ryan Jensen,sa3011496,24
Madison Bumgarner,5524,32
Brock Burke,17968,25
Jakob Junis,13619,29
Sean Hjelle,sa3007989,25
Adam Oller,sa913099,27
Brandon Pfaadt,sa3014983,23
Paolo Espino,8246,35
Jose De Paula,5744,#N/A
Rob Wooten,8532,#N/A
Jose Butto,sa3003166,24
Carl Bolton,sa3004975,#N/A
Brayan Bello,sa3005436,23
Bruce Zimmermann,20370,27
Rick Porcello,2717,33
Anderson Espinoza,sa872856,24
Zachary McCambley,sa3014478,23
Daniel Lynch,21537,25
Duncan Robinson,sa874105,#N/A
Marco Gonzales,15467,30
Aaron Civale,19479,27
Alec Mills,13834,30
Bryan Mata,sa917784,#N/A
Joan Adon,22925,23
Mike Leake,10130,#N/A
Victor Vodnik,sa3008527,22
Ryan Rolison,sa3008244,24
Ethan Small,sa3011621,25
Felix Doubront,1478,#N/A
Jose Suarez,19911,24
Braxton Garrett,21844,24
Thomas Henry,sa3011673,24
Dean Kremer,19350,26
J.A. Happ,7410,39
Dayton Hall,sa3005282,23
Jason Groome,sa917925,23
Kutter Crawford,20531,26
Timothy Cate,sa3007926,24
Yonny Chirinos,16401,28
John Lamb,8493,#N/A
Michael Pineda,5372,33
Peter Lambert,17969,25
Cody Bradford,sa3014463,24
Andre Rienzo,3507,#N/A
Dylan File,sa3004197,26
Matt Manning,20369,24
Bryce Jarvis,sa3014437,24
Tyler Weir,sa829207,#N/A
Ryan Murphy,sa3014871,22
Liam Hendriks,3548,33
Clayton Richard,3551,#N/A
